humidity is 58.799999 , stationId = 4
humidity is 61.299999 , stationId = 4
humidity is 62.099998 , stationId = 4
humidity is 61.400002 , stationId = 4
humidity is 62.500000 , stationId = 4
humidity is 62.900002 , stationId = 4
humidity is 61.900002 , stationId = 4
humidity is 62.400002 , stationId = 4
humidity is 63.000000 , stationId = 4
humidity is 62.799999 , stationId = 4
humidity is 61.599998 , stationId = 4
humidity is 61.799999 , stationId = 4
humidity is 60.200001 , stationId = 4
humidity is 61.000000 , stationId = 4
humidity is 62.099998 , stationId = 4
humidity is 63.200001 , stationId = 4
humidity is 61.000000 , stationId = 4
humidity is 60.299999 , stationId = 4
humidity is 62.599998 , stationId = 4
humidity is 61.299999 , stationId = 4
humidity is 61.400002 , stationId = 4
humidity is 61.799999 , stationId = 4
humidity is 61.400002 , stationId = 4
humidity is 61.900002 , stationId = 4
humidity is 63.099998 , stationId = 4
humidity is 63.200001 , stationId = 4
humidity is 61.400002 , stationId = 4
humidity is 62.299999 , stationId = 4
humidity is 63.000000 , stationId = 4
humidity is 63.500000 , stationId = 4
humidity is 61.799999 , stationId = 4
humidity is 62.299999 , stationId = 4
humidity is 62.000000 , stationId = 4
humidity is 61.700001 , stationId = 4
humidity is 60.900002 , stationId = 4
humidity is 63.299999 , stationId = 4
humidity is 61.000000 , stationId = 4
humidity is 60.700001 , stationId = 4
humidity is 61.400002 , stationId = 4
humidity is 62.700001 , stationId = 4
humidity is 62.900002 , stationId = 4
humidity is 63.500000 , stationId = 4
humidity is 62.099998 , stationId = 4
humidity is 63.500000 , stationId = 4
humidity is 62.099998 , stationId = 4
humidity is 62.000000 , stationId = 4
humidity is 63.599998 , stationId = 4
humidity is 63.299999 , stationId = 4
humidity is 62.400002 , stationId = 4
humidity is 62.299999 , stationId = 4
humidity is 63.099998 , stationId = 4
humidity is 62.599998 , stationId = 4
humidity is 61.400002 , stationId = 4
humidity is 60.900002 , stationId = 4
humidity is 62.799999 , stationId = 4
humidity is 63.799999 , stationId = 4
humidity is 63.500000 , stationId = 4
humidity is 61.299999 , stationId = 4
humidity is 63.200001 , stationId = 4
humidity is 62.900002 , stationId = 4
humidity is 63.500000 , stationId = 4
humidity is 62.500000 , stationId = 4
humidity is 63.000000 , stationId = 4
humidity is 63.299999 , stationId = 4
humidity is 63.400002 , stationId = 4
humidity is 63.299999 , stationId = 4
humidity is 62.200001 , stationId = 4
humidity is 61.700001 , stationId = 4
humidity is 63.099998 , stationId = 4
humidity is 63.000000 , stationId = 4
humidity is 63.500000 , stationId = 4
humidity is 64.099998 , stationId = 4
humidity is 62.200001 , stationId = 4
humidity is 62.900002 , stationId = 4
humidity is 61.799999 , stationId = 4
humidity is 63.700001 , stationId = 4
humidity is 62.200001 , stationId = 4
humidity is 62.099998 , stationId = 4
humidity is 64.199997 , stationId = 4
humidity is 63.700001 , stationId = 4
humidity is 63.599998 , stationId = 4
humidity is 63.900002 , stationId = 4
humidity is 62.200001 , stationId = 4
humidity is 63.400002 , stationId = 4
humidity is 61.400002 , stationId = 4
humidity is 63.599998 , stationId = 4
humidity is 62.900002 , stationId = 4
humidity is 64.000000 , stationId = 4
humidity is 61.599998 , stationId = 4
humidity is 64.000000 , stationId = 4
humidity is 62.900002 , stationId = 4
humidity is 62.000000 , stationId = 4
humidity is 64.199997 , stationId = 4
humidity is 63.700001 , stationId = 4
humidity is 63.500000 , stationId = 4
humidity is 63.299999 , stationId = 4
humidity is 63.799999 , stationId = 4
humidity is 63.200001 , stationId = 4
humidity is 63.200001 , stationId = 4
humidity is 62.299999 , stationId = 4
humidity is 62.700001 , stationId = 4
humidity is 63.700001 , stationId = 4
humidity is 63.599998 , stationId = 4
humidity is 63.599998 , stationId = 4
humidity is 62.900002 , stationId = 4
humidity is 63.799999 , stationId = 4
humidity is 64.500000 , stationId = 4
humidity is 63.299999 , stationId = 4
humidity is 64.000000 , stationId = 4
humidity is 62.299999 , stationId = 4
humidity is 63.299999 , stationId = 4
humidity is 64.000000 , stationId = 4
humidity is 63.799999 , stationId = 4
humidity is 64.000000 , stationId = 4
humidity is 63.400002 , stationId = 4
humidity is 64.800003 , stationId = 4
humidity is 63.700001 , stationId = 4
humidity is 64.599998 , stationId = 4
humidity is 64.199997 , stationId = 4
humidity is 63.599998 , stationId = 4
humidity is 62.799999 , stationId = 4
humidity is 63.900002 , stationId = 4
humidity is 63.500000 , stationId = 4
humidity is 64.400002 , stationId = 4
humidity is 63.299999 , stationId = 4
humidity is 64.099998 , stationId = 4
humidity is 64.199997 , stationId = 4
humidity is 65.000000 , stationId = 4
humidity is 64.699997 , stationId = 4
humidity is 64.000000 , stationId = 4
humidity is 63.900002 , stationId = 4
humidity is 63.900002 , stationId = 4
humidity is 63.500000 , stationId = 4
humidity is 64.300003 , stationId = 4
humidity is 62.500000 , stationId = 4
humidity is 63.099998 , stationId = 4
humidity is 64.400002 , stationId = 4
humidity is 63.000000 , stationId = 4
humidity is 63.700001 , stationId = 4
humidity is 64.400002 , stationId = 4
humidity is 63.700001 , stationId = 4
humidity is 64.000000 , stationId = 4
humidity is 64.300003 , stationId = 4
humidity is 64.900002 , stationId = 4
humidity is 63.700001 , stationId = 4
humidity is 65.000000 , stationId = 4
humidity is 63.700001 , stationId = 4
humidity is 63.000000 , stationId = 4
humidity is 64.000000 , stationId = 4
humidity is 63.400002 , stationId = 4
humidity is 64.099998 , stationId = 4
humidity is 65.300003 , stationId = 4
humidity is 64.699997 , stationId = 4
humidity is 62.799999 , stationId = 4
humidity is 63.200001 , stationId = 4
humidity is 64.000000 , stationId = 4
humidity is 63.900002 , stationId = 4
humidity is 64.500000 , stationId = 4
humidity is 63.400002 , stationId = 4
humidity is 63.200001 , stationId = 4
humidity is 64.099998 , stationId = 4
humidity is 63.000000 , stationId = 4
humidity is 64.599998 , stationId = 4
humidity is 63.599998 , stationId = 4
humidity is 65.099998 , stationId = 4
humidity is 64.199997 , stationId = 4
humidity is 63.599998 , stationId = 4
humidity is 63.400002 , stationId = 4
humidity is 63.099998 , stationId = 4
humidity is 65.300003 , stationId = 4
humidity is 65.500000 , stationId = 4
humidity is 65.300003 , stationId = 4
humidity is 64.900002 , stationId = 4
humidity is 63.500000 , stationId = 4
humidity is 63.599998 , stationId = 4
humidity is 65.000000 , stationId = 4
humidity is 65.199997 , stationId = 4
humidity is 64.800003 , stationId = 4
humidity is 65.699997 , stationId = 4
humidity is 65.599998 , stationId = 4
humidity is 65.000000 , stationId = 4
humidity is 65.599998 , stationId = 4
humidity is 64.800003 , stationId = 4
humidity is 63.900002 , stationId = 4
humidity is 65.599998 , stationId = 4
humidity is 65.599998 , stationId = 4
humidity is 66.099998 , stationId = 4
humidity is 66.000000 , stationId = 4
humidity is 64.199997 , stationId = 4
humidity is 64.199997 , stationId = 4
humidity is 64.099998 , stationId = 4
humidity is 64.599998 , stationId = 4
humidity is 65.599998 , stationId = 4
humidity is 64.599998 , stationId = 4
humidity is 66.099998 , stationId = 4
humidity is 64.099998 , stationId = 4
humidity is 64.800003 , stationId = 4
humidity is 65.000000 , stationId = 4
humidity is 64.000000 , stationId = 4
humidity is 63.799999 , stationId = 4
humidity is 64.099998 , stationId = 4
humidity is 65.900002 , stationId = 4
humidity is 65.099998 , stationId = 4
humidity is 64.599998 , stationId = 4
humidity is 65.000000 , stationId = 4
humidity is 66.000000 , stationId = 4
humidity is 65.900002 , stationId = 4
humidity is 64.900002 , stationId = 4
humidity is 64.000000 , stationId = 4
humidity is 66.199997 , stationId = 4
humidity is 63.799999 , stationId = 4
humidity is 65.099998 , stationId = 4
humidity is 66.199997 , stationId = 4
humidity is 66.599998 , stationId = 4
humidity is 65.900002 , stationId = 4
humidity is 64.000000 , stationId = 4
humidity is 66.900002 , stationId = 4
humidity is 64.400002 , stationId = 4
humidity is 66.000000 , stationId = 4
humidity is 65.099998 , stationId = 4
humidity is 66.599998 , stationId = 4
humidity is 65.900002 , stationId = 4
humidity is 64.300003 , stationId = 4
humidity is 65.699997 , stationId = 4
humidity is 64.400002 , stationId = 4
humidity is 66.000000 , stationId = 4
humidity is 65.599998 , stationId = 4
humidity is 65.800003 , stationId = 4
humidity is 64.800003 , stationId = 4
humidity is 65.500000 , stationId = 4
humidity is 66.199997 , stationId = 4
humidity is 67.199997 , stationId = 4
humidity is 66.699997 , stationId = 4
humidity is 66.699997 , stationId = 4
humidity is 65.099998 , stationId = 4
humidity is 64.699997 , stationId = 4
humidity is 66.900002 , stationId = 4
humidity is 65.000000 , stationId = 4
humidity is 65.800003 , stationId = 4
humidity is 66.599998 , stationId = 4
humidity is 65.500000 , stationId = 4
humidity is 64.699997 , stationId = 4
humidity is 66.599998 , stationId = 4
humidity is 67.199997 , stationId = 4
humidity is 64.800003 , stationId = 4
humidity is 67.500000 , stationId = 4
humidity is 66.099998 , stationId = 4
humidity is 65.199997 , stationId = 4
humidity is 66.000000 , stationId = 4
humidity is 66.900002 , stationId = 4
humidity is 67.000000 , stationId = 4
humidity is 67.199997 , stationId = 4
humidity is 66.900002 , stationId = 4
humidity is 65.599998 , stationId = 4
humidity is 65.599998 , stationId = 4
humidity is 66.599998 , stationId = 4
humidity is 66.099998 , stationId = 4
humidity is 65.800003 , stationId = 4
humidity is 66.000000 , stationId = 4
humidity is 65.699997 , stationId = 4
humidity is 67.400002 , stationId = 4
humidity is 65.300003 , stationId = 4
humidity is 67.400002 , stationId = 4
humidity is 65.300003 , stationId = 4
humidity is 65.699997 , stationId = 4
humidity is 67.599998 , stationId = 4
humidity is 65.099998 , stationId = 4
humidity is 64.900002 , stationId = 4
humidity is 65.099998 , stationId = 4
humidity is 65.400002 , stationId = 4
humidity is 65.300003 , stationId = 4
humidity is 66.699997 , stationId = 4
humidity is 67.500000 , stationId = 4
humidity is 65.199997 , stationId = 4
humidity is 67.099998 , stationId = 4
humidity is 67.500000 , stationId = 4
humidity is 67.099998 , stationId = 4
humidity is 67.000000 , stationId = 4
humidity is 67.000000 , stationId = 4
humidity is 65.500000 , stationId = 4
humidity is 67.800003 , stationId = 4
humidity is 66.800003 , stationId = 4
humidity is 67.500000 , stationId = 4
humidity is 67.300003 , stationId = 4
humidity is 66.599998 , stationId = 4
humidity is 65.500000 , stationId = 4
humidity is 67.800003 , stationId = 4
humidity is 65.300003 , stationId = 4
humidity is 66.699997 , stationId = 4
humidity is 67.800003 , stationId = 4
humidity is 67.500000 , stationId = 4
humidity is 67.000000 , stationId = 4
humidity is 65.599998 , stationId = 4
humidity is 68.400002 , stationId = 4
humidity is 66.000000 , stationId = 4
humidity is 66.800003 , stationId = 4
humidity is 67.199997 , stationId = 4
humidity is 68.400002 , stationId = 4
humidity is 68.300003 , stationId = 4
humidity is 68.400002 , stationId = 4
humidity is 67.400002 , stationId = 4
humidity is 66.300003 , stationId = 4
humidity is 65.800003 , stationId = 4
humidity is 65.800003 , stationId = 4
humidity is 65.800003 , stationId = 4
humidity is 66.500000 , stationId = 4
humidity is 68.400002 , stationId = 4
humidity is 67.199997 , stationId = 4
humidity is 68.500000 , stationId = 4
humidity is 66.099998 , stationId = 4
humidity is 68.800003 , stationId = 4
humidity is 68.199997 , stationId = 4
humidity is 66.199997 , stationId = 4
humidity is 66.500000 , stationId = 4
humidity is 67.500000 , stationId = 4
humidity is 66.199997 , stationId = 4
humidity is 66.000000 , stationId = 4
humidity is 68.099998 , stationId = 4
humidity is 66.199997 , stationId = 4
humidity is 66.500000 , stationId = 4
humidity is 66.699997 , stationId = 4
humidity is 66.300003 , stationId = 4
humidity is 67.199997 , stationId = 4
humidity is 67.900002 , stationId = 4
humidity is 66.500000 , stationId = 4
humidity is 68.099998 , stationId = 4
humidity is 68.300003 , stationId = 4
humidity is 67.199997 , stationId = 4
humidity is 66.599998 , stationId = 4
humidity is 68.699997 , stationId = 4
humidity is 69.099998 , stationId = 4
humidity is 67.400002 , stationId = 4
humidity is 68.199997 , stationId = 4
humidity is 66.500000 , stationId = 4
humidity is 66.199997 , stationId = 4
humidity is 69.199997 , stationId = 4
humidity is 66.500000 , stationId = 4
humidity is 67.500000 , stationId = 4
humidity is 68.099998 , stationId = 4
humidity is 67.699997 , stationId = 4
humidity is 66.800003 , stationId = 4
humidity is 68.300003 , stationId = 4
humidity is 67.000000 , stationId = 4
humidity is 67.699997 , stationId = 4
humidity is 67.300003 , stationId = 4
humidity is 67.599998 , stationId = 4
humidity is 67.500000 , stationId = 4
humidity is 66.500000 , stationId = 4
humidity is 67.900002 , stationId = 4
humidity is 67.199997 , stationId = 4
humidity is 69.400002 , stationId = 4
humidity is 67.400002 , stationId = 4
humidity is 67.199997 , stationId = 4
humidity is 68.300003 , stationId = 4
humidity is 66.800003 , stationId = 4
humidity is 67.400002 , stationId = 4
humidity is 69.099998 , stationId = 4
humidity is 67.300003 , stationId = 4
humidity is 68.800003 , stationId = 4
humidity is 68.500000 , stationId = 4
humidity is 69.500000 , stationId = 4
humidity is 68.400002 , stationId = 4
humidity is 67.099998 , stationId = 4
humidity is 68.099998 , stationId = 4
humidity is 67.000000 , stationId = 4
humidity is 67.699997 , stationId = 4
humidity is 68.000000 , stationId = 4
humidity is 67.000000 , stationId = 4
humidity is 68.199997 , stationId = 4
humidity is 68.900002 , stationId = 4
humidity is 68.099998 , stationId = 4
humidity is 67.900002 , stationId = 4
humidity is 67.500000 , stationId = 4
humidity is 67.199997 , stationId = 4
humidity is 67.500000 , stationId = 4
humidity is 69.199997 , stationId = 4
humidity is 68.000000 , stationId = 4
humidity is 69.199997 , stationId = 4
humidity is 68.300003 , stationId = 4
humidity is 67.500000 , stationId = 4
humidity is 67.000000 , stationId = 4
humidity is 68.599998 , stationId = 4
humidity is 69.599998 , stationId = 4
humidity is 67.500000 , stationId = 4
humidity is 69.800003 , stationId = 4
humidity is 68.900002 , stationId = 4
humidity is 67.800003 , stationId = 4
humidity is 67.699997 , stationId = 4
humidity is 69.800003 , stationId = 4
humidity is 68.300003 , stationId = 4
humidity is 69.900002 , stationId = 4
humidity is 68.300003 , stationId = 4
humidity is 68.300003 , stationId = 4
humidity is 70.000000 , stationId = 4
humidity is 70.300003 , stationId = 4
humidity is 69.800003 , stationId = 4
humidity is 69.800003 , stationId = 4
humidity is 67.699997 , stationId = 4
humidity is 69.800003 , stationId = 4
humidity is 69.400002 , stationId = 4
humidity is 67.900002 , stationId = 4
humidity is 69.900002 , stationId = 4
humidity is 70.400002 , stationId = 4
humidity is 68.800003 , stationId = 4
humidity is 68.300003 , stationId = 4
humidity is 68.500000 , stationId = 4
humidity is 68.300003 , stationId = 4
humidity is 69.300003 , stationId = 4
humidity is 68.000000 , stationId = 4
humidity is 67.599998 , stationId = 4
humidity is 69.099998 , stationId = 4
humidity is 68.300003 , stationId = 4
humidity is 69.099998 , stationId = 4
humidity is 69.300003 , stationId = 4
humidity is 68.300003 , stationId = 4
humidity is 68.099998 , stationId = 4
humidity is 68.900002 , stationId = 4
humidity is 68.099998 , stationId = 4
humidity is 69.300003 , stationId = 4
humidity is 69.099998 , stationId = 4
humidity is 68.199997 , stationId = 4
humidity is 68.099998 , stationId = 4
humidity is 68.199997 , stationId = 4
humidity is 70.199997 , stationId = 4
humidity is 69.400002 , stationId = 4
humidity is 70.800003 , stationId = 4
humidity is 68.699997 , stationId = 4
humidity is 69.699997 , stationId = 4
humidity is 70.699997 , stationId = 4
humidity is 69.900002 , stationId = 4
humidity is 68.199997 , stationId = 4
humidity is 69.500000 , stationId = 4
humidity is 70.699997 , stationId = 4
humidity is 68.400002 , stationId = 4
humidity is 71.000000 , stationId = 4
humidity is 68.800003 , stationId = 4
humidity is 69.800003 , stationId = 4
humidity is 71.199997 , stationId = 4
humidity is 69.699997 , stationId = 4
humidity is 70.599998 , stationId = 4
humidity is 70.099998 , stationId = 4
humidity is 69.800003 , stationId = 4
humidity is 71.000000 , stationId = 4
humidity is 69.800003 , stationId = 4
humidity is 70.099998 , stationId = 4
humidity is 69.199997 , stationId = 4
humidity is 71.099998 , stationId = 4
humidity is 71.000000 , stationId = 4
humidity is 70.000000 , stationId = 4
humidity is 69.500000 , stationId = 4
humidity is 70.199997 , stationId = 4
humidity is 69.900002 , stationId = 4
humidity is 71.099998 , stationId = 4
humidity is 71.000000 , stationId = 4
humidity is 70.400002 , stationId = 4
humidity is 69.000000 , stationId = 4
humidity is 68.199997 , stationId = 4
humidity is 70.400002 , stationId = 4
humidity is 70.099998 , stationId = 4
humidity is 70.099998 , stationId = 4
humidity is 68.699997 , stationId = 4
humidity is 68.900002 , stationId = 4
humidity is 69.400002 , stationId = 4
humidity is 70.400002 , stationId = 4
humidity is 69.900002 , stationId = 4
humidity is 68.500000 , stationId = 4
humidity is 70.099998 , stationId = 4
humidity is 68.400002 , stationId = 4
humidity is 68.000000 , stationId = 4
humidity is 70.099998 , stationId = 4
humidity is 70.099998 , stationId = 4
humidity is 69.300003 , stationId = 4
humidity is 69.099998 , stationId = 4
humidity is 69.199997 , stationId = 4
humidity is 69.500000 , stationId = 4
humidity is 70.500000 , stationId = 4
humidity is 70.500000 , stationId = 4
humidity is 69.500000 , stationId = 4
humidity is 68.900002 , stationId = 4
humidity is 67.800003 , stationId = 4
humidity is 70.400002 , stationId = 4
humidity is 70.400002 , stationId = 4
humidity is 68.900002 , stationId = 4
humidity is 68.599998 , stationId = 4
humidity is 68.400002 , stationId = 4
humidity is 69.500000 , stationId = 4
humidity is 68.400002 , stationId = 4
humidity is 69.699997 , stationId = 4
humidity is 70.099998 , stationId = 4
humidity is 68.099998 , stationId = 4
humidity is 69.900002 , stationId = 4
humidity is 68.699997 , stationId = 4
humidity is 67.900002 , stationId = 4
humidity is 69.000000 , stationId = 4
humidity is 67.699997 , stationId = 4
humidity is 68.900002 , stationId = 4
humidity is 68.099998 , stationId = 4
humidity is 69.099998 , stationId = 4
humidity is 67.599998 , stationId = 4
humidity is 69.599998 , stationId = 4
humidity is 69.599998 , stationId = 4
humidity is 68.599998 , stationId = 4
humidity is 69.900002 , stationId = 4
humidity is 70.099998 , stationId = 4
humidity is 68.000000 , stationId = 4
humidity is 68.099998 , stationId = 4
humidity is 67.300003 , stationId = 4
humidity is 68.500000 , stationId = 4
humidity is 70.099998 , stationId = 4
humidity is 69.300003 , stationId = 4
humidity is 68.699997 , stationId = 4
humidity is 69.699997 , stationId = 4
humidity is 67.300003 , stationId = 4
humidity is 69.500000 , stationId = 4
humidity is 68.699997 , stationId = 4
humidity is 68.699997 , stationId = 4
humidity is 67.599998 , stationId = 4
humidity is 67.300003 , stationId = 4
humidity is 67.300003 , stationId = 4
humidity is 69.400002 , stationId = 4
humidity is 69.599998 , stationId = 4
humidity is 67.000000 , stationId = 4
humidity is 69.800003 , stationId = 4
humidity is 66.900002 , stationId = 4
humidity is 69.699997 , stationId = 4
humidity is 68.599998 , stationId = 4
humidity is 68.300003 , stationId = 4
humidity is 68.599998 , stationId = 4
humidity is 69.400002 , stationId = 4
humidity is 69.500000 , stationId = 4
humidity is 67.599998 , stationId = 4
humidity is 68.699997 , stationId = 4
humidity is 68.300003 , stationId = 4
humidity is 67.699997 , stationId = 4
humidity is 69.400002 , stationId = 4
humidity is 68.000000 , stationId = 4
humidity is 68.099998 , stationId = 4
humidity is 67.900002 , stationId = 4
humidity is 67.900002 , stationId = 4
humidity is 69.199997 , stationId = 4
humidity is 69.300003 , stationId = 4
humidity is 67.300003 , stationId = 4
humidity is 67.199997 , stationId = 4
humidity is 68.099998 , stationId = 4
humidity is 66.800003 , stationId = 4
humidity is 68.400002 , stationId = 4
humidity is 68.400002 , stationId = 4
humidity is 68.699997 , stationId = 4
humidity is 66.500000 , stationId = 4
humidity is 68.900002 , stationId = 4
humidity is 67.599998 , stationId = 4
humidity is 68.199997 , stationId = 4
humidity is 66.699997 , stationId = 4
humidity is 66.300003 , stationId = 4
humidity is 66.300003 , stationId = 4
humidity is 68.199997 , stationId = 4
humidity is 66.900002 , stationId = 4
humidity is 67.900002 , stationId = 4
humidity is 66.599998 , stationId = 4
humidity is 69.099998 , stationId = 4
humidity is 67.599998 , stationId = 4
humidity is 68.599998 , stationId = 4
humidity is 66.599998 , stationId = 4
humidity is 67.800003 , stationId = 4
humidity is 67.300003 , stationId = 4
humidity is 68.500000 , stationId = 4
humidity is 68.400002 , stationId = 4
humidity is 66.300003 , stationId = 4
humidity is 68.800003 , stationId = 4
humidity is 66.300003 , stationId = 4
humidity is 66.000000 , stationId = 4
humidity is 66.300003 , stationId = 4
humidity is 66.400002 , stationId = 4
humidity is 66.000000 , stationId = 4
humidity is 66.199997 , stationId = 4
humidity is 68.000000 , stationId = 4
humidity is 66.099998 , stationId = 4
humidity is 68.099998 , stationId = 4
humidity is 66.699997 , stationId = 4
humidity is 66.500000 , stationId = 4
humidity is 68.599998 , stationId = 4
humidity is 66.900002 , stationId = 4
humidity is 68.300003 , stationId = 4
humidity is 67.599998 , stationId = 4
humidity is 66.800003 , stationId = 4
humidity is 66.699997 , stationId = 4
humidity is 65.900002 , stationId = 4
humidity is 67.500000 , stationId = 4
humidity is 65.900002 , stationId = 4
humidity is 67.900002 , stationId = 4
humidity is 67.199997 , stationId = 4
humidity is 67.400002 , stationId = 4
humidity is 68.599998 , stationId = 4
humidity is 66.199997 , stationId = 4
humidity is 66.099998 , stationId = 4
humidity is 68.599998 , stationId = 4
humidity is 67.800003 , stationId = 4
humidity is 68.300003 , stationId = 4
humidity is 68.199997 , stationId = 4
humidity is 66.800003 , stationId = 4
humidity is 66.800003 , stationId = 4
humidity is 67.900002 , stationId = 4
humidity is 68.000000 , stationId = 4
humidity is 66.400002 , stationId = 4
humidity is 66.699997 , stationId = 4
humidity is 66.900002 , stationId = 4
humidity is 66.900002 , stationId = 4
humidity is 65.699997 , stationId = 4
humidity is 65.800003 , stationId = 4
humidity is 66.000000 , stationId = 4
humidity is 66.599998 , stationId = 4
humidity is 65.300003 , stationId = 4
humidity is 65.699997 , stationId = 4
humidity is 67.099998 , stationId = 4
humidity is 67.099998 , stationId = 4
humidity is 65.500000 , stationId = 4
humidity is 67.699997 , stationId = 4
humidity is 66.900002 , stationId = 4
humidity is 65.800003 , stationId = 4
humidity is 66.900002 , stationId = 4
humidity is 65.599998 , stationId = 4
humidity is 66.400002 , stationId = 4
humidity is 65.699997 , stationId = 4
humidity is 66.400002 , stationId = 4
humidity is 67.599998 , stationId = 4
humidity is 67.099998 , stationId = 4
humidity is 67.199997 , stationId = 4
humidity is 65.800003 , stationId = 4
humidity is 66.699997 , stationId = 4
humidity is 65.599998 , stationId = 4
humidity is 65.199997 , stationId = 4
humidity is 65.000000 , stationId = 4
humidity is 65.599998 , stationId = 4
humidity is 66.300003 , stationId = 4
humidity is 65.599998 , stationId = 4
humidity is 67.199997 , stationId = 4
humidity is 66.699997 , stationId = 4
humidity is 65.300003 , stationId = 4
humidity is 65.500000 , stationId = 4
humidity is 65.000000 , stationId = 4
humidity is 64.800003 , stationId = 4
humidity is 65.099998 , stationId = 4
humidity is 66.400002 , stationId = 4
humidity is 64.800003 , stationId = 4
humidity is 67.400002 , stationId = 4
humidity is 67.500000 , stationId = 4
humidity is 64.699997 , stationId = 4
humidity is 66.099998 , stationId = 4
humidity is 67.099998 , stationId = 4
humidity is 65.199997 , stationId = 4
humidity is 66.900002 , stationId = 4
humidity is 66.099998 , stationId = 4
humidity is 66.099998 , stationId = 4
humidity is 66.599998 , stationId = 4
humidity is 67.300003 , stationId = 4
humidity is 65.099998 , stationId = 4
humidity is 64.400002 , stationId = 4
humidity is 65.400002 , stationId = 4
humidity is 66.699997 , stationId = 4
humidity is 65.900002 , stationId = 4
humidity is 67.000000 , stationId = 4
humidity is 65.300003 , stationId = 4
humidity is 66.400002 , stationId = 4
humidity is 65.900002 , stationId = 4
humidity is 65.599998 , stationId = 4
humidity is 65.400002 , stationId = 4
humidity is 66.900002 , stationId = 4
humidity is 66.900002 , stationId = 4
humidity is 65.400002 , stationId = 4
humidity is 66.599998 , stationId = 4
humidity is 66.400002 , stationId = 4
humidity is 66.400002 , stationId = 4
humidity is 65.199997 , stationId = 4
humidity is 66.900002 , stationId = 4
humidity is 67.099998 , stationId = 4
humidity is 64.099998 , stationId = 4
humidity is 64.199997 , stationId = 4
humidity is 64.300003 , stationId = 4
humidity is 66.199997 , stationId = 4
humidity is 66.699997 , stationId = 4
humidity is 66.599998 , stationId = 4
humidity is 65.699997 , stationId = 4
humidity is 66.699997 , stationId = 4
humidity is 66.500000 , stationId = 4
